,Customer_ID,First_Name,Last_Name,Year_Birth,Education,Major,Income,Date_Enrolled,Days_Since_Last_Cohort,Amount_Spent_On_Courses,Amount_Spent_on_Books,Minutes_Spent_on_Headstarter,Questions_Completed,Videos_Watched,Minutes_Spent_Coding,Email_Opens,Num_Courses_Purchased,Number_of_Students_Referred,Site_Visits_Per_Month,Average_Teammate_Rating,Cohorts_Participated_In,Highest_Leaderboard_Rank,Complain,Headstarter_Rating,Probability_Of_Getting_Offer
0,5524,Jason,Sharp,1957,Bachelors,Computer Science,93020.8,2012-04-09,58,931.0,148.0,980.0,1665.0,95.0,439.0,8,11.0,4,18.0,4.86,2,226.0,0,5,39.7
1,2174,Cheryl,Medina,1954,Bachelors,Computer Science,74150.40000000001,2014-08-03,38,16.0,2.0,11.0,18.0,0.0,5.0,1,1.0,2,13.0,7.92,3,395.0,0,9,0.8
2,4141,Jennifer,Daniels,1965,Bachelors,Finance,114580.8,2013-08-21,26,738.0,64.0,77.0,190.0,11.0,33.0,8,2.0,10,8.0,8.36,2,448.0,0,8,15.4
3,6182,John,Mills,1984,Bachelors,Computer Science,42633.600000000006,2014-10-02,26,16.0,7.0,36.0,61.0,3.0,16.0,2,0.0,4,15.0,8.95,4,314.0,0,9,1.3
4,5324,Janet,Moore,1981,PhD,Cyber Security,116586.0,2014-01-19,94,306.0,51.0,111.0,324.0,28.0,116.0,5,5.0,6,15.0,5.72,3,264.0,0,7,9.7
5,7446,Roger,Walker,1967,Masters,Pre-Med,112523.40000000001,2013-09-09,16,759.0,72.0,116.0,274.0,16.0,88.0,6,6.0,10,17.0,9.2,4,373.0,0,6,8.2
6,965,Brandon,Thomas,1971,Bachelors,Computer Science,89016.0,2012-11-13,34,344.0,109.0,294.0,500.0,28.0,132.0,7,3.0,7,15.0,8.64,2,402.0,0,5,15.2
7,6177,Shirley,Owen,1985,PhD,Computer Science,66908.0,2013-08-05,32,111.0,17.0,101.0,171.0,10.0,45.0,4,0.0,4,20.0,6.99,1,310.0,0,5,4.1
8,4855,David,Anderson,1974,PhD,Law,60702.0,2013-06-06,19,11.0,0.0,7.0,51.0,1.0,10.0,3,0.0,2,10.0,8.45,4,471.0,0,7,1.1
9,5899,Holly,Young,1950,PhD,Computer Science,11296.0,2014-03-13,68,41.0,0.0,11.0,18.0,0.0,5.0,1,0.0,0,50.0,6.58,4,374.0,0,7,1.8
11,387,Kevin,Hardy,1976,In-College,Computer Science,9750.0,2012-11-13,59,264.0,27.0,99.0,34.0,11.0,8.0,2,0.0,3,20.0,7.6,3,327.0,0,5,2.3
12,2125,Joseph,Johnson,1959,Bachelors,Pre-Med,100852.8,2013-11-15,82,283.0,105.0,568.0,1344.0,81.0,429.0,3,6.0,8,6.0,4.7,1,187.0,0,9,41.9
13,8180,Peter,Burns,1952,Masters,Computer Science,106837.2,2013-11-15,53,341.0,3.0,95.0,162.0,8.0,42.0,6,1.0,5,15.0,7.63,3,341.0,0,8,4.3
14,2569,David,Golden,1987,Bachelors,Pre-Med,27716.800000000003,2012-10-10,38,4.0,24.0,20.0,48.0,3.0,14.0,1,0.0,3,22.0,7.22,3,308.0,0,8,1.1
15,2114,Eduardo,Ewing,1946,PhD,Computer Science,165600.0,2012-11-24,23,1474.0,37.0,206.0,351.0,19.0,92.0,7,7.0,12,8.0,8.92,4,393.0,0,8,15.3
16,9736,Bethany,Larson,1980,Bachelors,Computer Science,66960.0,2012-12-24,51,78.0,8.0,34.0,58.0,3.0,14.0,3,0.0,3,20.0,4.93,1,432.0,0,8,1.8
17,4939,Michelle,Martin,1946,Bachelors,Computer Science,60416.0,2012-08-31,20,123.0,8.0,68.0,116.0,6.0,31.0,4,1.0,6,18.0,7.16,1,362.0,0,7,8.7
18,6565,Jason,Reid,1949,Masters,Pre-Med,138591.0,2013-03-28,91,1476.0,138.0,590.0,1394.0,84.0,445.0,11,6.0,9,14.0,4.99,4,172.0,0,9,28.2
19,2278,Tyler,Smith,1985,High School,Cyber Security,6762.400000000001,2012-03-11,86,7.0,20.0,18.0,52.0,4.0,18.0,2,2.0,3,18.0,6.63,3,559.0,0,9,4.0
20,9360,Philip,Thomas,1982,Bachelors,Pre-Med,59264.0,2012-08-08,41,125.0,3.0,86.0,204.0,12.0,64.0,4,3.0,5,22.0,9.95,4,357.0,0,6,8.1
21,5376,Rachel,Clark,1979,Bachelors,Computer Science,3915.2000000000003,2013-06-01,42,1.0,2.0,3097.0,5259.0,299.0,1388.0,0,31.0,0,3.0,4.33,4,9.0,0,9,93.0
22,1993,Benjamin,Case,1949,PhD,Computer Science,117214.0,2012-12-23,63,1271.0,0.0,154.0,262.0,14.0,69.0,2,3.0,9,20.0,6.3,1,459.0,0,6,14.8
23,4047,Michael,Jones,1954,PhD,Computer Science,130648.0,2014-11-01,0,563.0,0.0,183.0,311.0,17.0,82.0,6,2.0,9,10.0,5.56,1,509.0,0,5,11.8
24,1409,Eric,Robinson,1951,Bachelors,Computer Science,65102.4,2013-03-18,69,396.0,5.0,48.0,82.0,4.0,21.0,7,1.0,5,20.0,5.81,2,428.0,0,9,6.5
25,7892,Jeff,Wheeler,1969,Bachelors,Computer Science,29742.4,2013-02-01,89,9.0,7.0,45.0,76.0,4.0,19.0,2,1.0,3,18.0,5.4,1,320.0,0,9,2.8
